feed_name,feed_url,feed_at_uri,feed_cid,creator_did,creator_handle,like_count,feed_tag
Centre Left/Liberals Hub,https://bsky.app/profile/omnibus09.bsky.social/feed/aaahcad2ssgj6,at://did:plc:ynfwfi7vgowg4g73iteptktr/app.bsky.feed.generator/aaahcad2ssgj6,bafyreigdjfdkoqa6oav43kzdvfgn22decrlm4srb3tvzq62z46gsf4i2we,did:plc:ynfwfi7vgowg4g73iteptktr,omnibus09.bsky.social,0,CL
DSA Posters,https://bsky.app/profile/badtakeenjoyer.bsky.social/feed/aaaoqg53wmrjy,at://did:plc:6iqgbtj4d7j57gg6pf55asad/app.bsky.feed.generator/aaaoqg53wmrjy,bafyreihh7p6vanctqp7x5dg3zz7qhbcndvgrip7xokdnxfkxbntrggulfq,did:plc:6iqgbtj4d7j57gg6pf55asad,badtakeenjoyer.bsky.social,0,PL
Democratic CRNAs,https://bsky.app/profile/democraticcrnas.bsky.social/feed/aaamzxcuzdb6i,at://did:plc:j5ganvle6pz5cyj7n5hhw4va/app.bsky.feed.generator/aaamzxcuzdb6i,bafyreiawm4v6znaazni4ibpklw2ifqbacdplxahoeolx52dceclq4hadba,did:plc:j5ganvle6pz5cyj7n5hhw4va,democraticcrnas.bsky.social,0,PL
Democratic Feed,https://bsky.app/profile/jake4va.bsky.social/feed/aaahjt4ibvli6,at://did:plc:mx5ul2ti7dchjolvdcn2gch5/app.bsky.feed.generator/aaahjt4ibvli6,bafyreibfytq4y2ldpxxq5xxf5xb73c5qesnqnd72mk6kqtzekh2dmqqjj4,did:plc:mx5ul2ti7dchjolvdcn2gch5,jake4va.bsky.social,0,CL
Democratic Socialism,https://bsky.app/profile/museinrevolt.bsky.social/feed/aaagl3tld7gze,at://did:plc:bl7hspj2b6fgit3g7tevov5o/app.bsky.feed.generator/aaagl3tld7gze,bafyreibej4hkdtw7l7ttscmpnm2kphwdgbjhiq4gyq2rb6avzxw7enpuny,did:plc:bl7hspj2b6fgit3g7tevov5o,museinrevolt.bsky.social,0,XL
Democratic Voices,https://bsky.app/profile/thesanity.org/feed/aaaexihvmboe2,at://did:plc:xrmhlklb6ej5odia4vnt4kwj/app.bsky.feed.generator/aaaexihvmboe2,bafyreibdvucqrqsw2noftbyd7h2joc4adysjy7phglciwdi5qcg6sld4rq,did:plc:xrmhlklb6ej5odia4vnt4kwj,thesanity.org,0,CL
Left-wing politics Feed,https://bsky.app/profile/brieflytldr.bsky.social/feed/left-wing-politics-feed-909e7070,at://did:plc:yyspsm3i5lewrjlmqn5mpdv3/app.bsky.feed.generator/left-wing-politics-feed-909e7070,bafyreibxnhttgex3jhbtgb6rjhzdj7bveockx526s2b2xn4x7e7yfeojiu,did:plc:yyspsm3i5lewrjlmqn5mpdv3,brieflytldr.bsky.social,0,PL
Leftist Voices,https://bsky.app/profile/jacklcii.bsky.social/feed/aaac2shxzhks2,at://did:plc:jwrqfujopnk74ctf5w65exju/app.bsky.feed.generator/aaac2shxzhks2,bafyreihtjbpbwnhpvnf4kefusvo6hutdkrrurhl3af6ma3enogwinkwftu,did:plc:jwrqfujopnk74ctf5w65exju,jacklcii.bsky.social,0,XL
Lefty stuff,https://bsky.app/profile/jhrmny.bsky.social/feed/Lefty-stuff,at://did:plc:p22icq3nurqrli6txwg2cpt4/app.bsky.feed.generator/Lefty-stuff,bafyreiagku7qacgehbpsvrtp5o2ghnqbxmvr354y5oqnapue5mbpxkhzxq,did:plc:p22icq3nurqrli6txwg2cpt4,jhrmny.bsky.social,0,PL
Memes of the Resistance,https://bsky.app/profile/laprimanerda.bsky.social/feed/aaantcgpr2hma,at://did:plc:urw4ijr2h3otptugk4ocdcag/app.bsky.feed.generator/aaantcgpr2hma,bafyreihjgeyaesr5sbmst6yj6nn4yjwvr7seaxr66xex6xheow6p2nrcju,did:plc:urw4ijr2h3otptugk4ocdcag,laprimanerda.bsky.social,0,PL
NC Progressives,https://bsky.app/profile/indivisiblesenc.bsky.social/feed/aaaloxoeoekqs,at://did:plc:o47mtxdcfw2dxcmimdc4zdfm/app.bsky.feed.generator/aaaloxoeoekqs,bafyreibdu2updvzu3nk4rgksqw67ipbv7k5ysmnp7ktxf2dancpib5mm2a,did:plc:o47mtxdcfw2dxcmimdc4zdfm,indivisiblesenc.bsky.social,0,PL
Progressive News,https://bsky.app/profile/fightingliberal.bsky.social/feed/Progressive-New,at://did:plc:vaged6uocai4jrd2s5pd2ebo/app.bsky.feed.generator/Progressive-New,bafyreiao7fqdm67z62ktjgifdnk4ch7b64gegjrqqwqshfv2r5gxfltseu,did:plc:vaged6uocai4jrd2s5pd2ebo,fightingliberal.bsky.social,0,PL
Wilmington Progressives,https://bsky.app/profile/indivisiblesenc.bsky.social/feed/aaalox6azp3zi,at://did:plc:o47mtxdcfw2dxcmimdc4zdfm/app.bsky.feed.generator/aaalox6azp3zi,bafyreib2wrqktsqp5lffwi4c3ykvnstcvokjpzfvqek76okvlqcmf2gkri,did:plc:o47mtxdcfw2dxcmimdc4zdfm,indivisiblesenc.bsky.social,0,PL
lefty memetics,https://bsky.app/profile/antifamemes.bsky.social/feed/aaaga757a675w,at://did:plc:kkqec2c3akxbvqwak4gjeswl/app.bsky.feed.generator/aaaga757a675w,bafyreichd2deajcmxdudj6odcoyb4ea2xfeetrw5a353kksy5nv5pmbqhy,did:plc:kkqec2c3akxbvqwak4gjeswl,antifamemes.bsky.social,0,XL
